Question,Correct Solution
Sort a List of Strings by Length,"public static List<String> sortByLength(List<String> list) {
    int n = list.size();
    for (int i = 0; i < n - 1; i++) {
        for (int j = 0; j < n - i - 1; j++) {
            if (list.get(j).length() > list.get(j + 1).length()) {
                // Swap list[j] and list[j+1]
                String temp = list.get(j);
                list.set(j, list.get(j + 1));
                list.set(j + 1, temp);
            }
        }
    }
    return list;
}"
Sort a List of Strings by Length,"public static List<String> sortByLength(List<String> list) {
    quickSort(list, 0, list.size() - 1);
    return list;
}

private static void quickSort(List<String> list, int low, int high) {
    if (low < high) {
        int pi = partition(list, low, high);
        quickSort(list, low, pi - 1);
        quickSort(list, pi + 1, high);
    }
}

private static int partition(List<String> list, int low, int high) {
    int pivotLength = list.get(high).length();
    int i = (low - 1);
    for (int j = low; j < high; j++) {
        if (list.get(j).length() < pivotLength) {
            i++;
            String temp = list.get(i);
            list.set(i, list.get(j));
            list.set(j, temp);
        }
    }
    String temp = list.get(i + 1);
    list.set(i + 1, list.get(high));
    list.set(high, temp);
    return i + 1;
}"
Remove All Whitespace from a String,"public static String removeWhitespace(String input) {
    return input.replaceAll(""\\s"", """");
}"
Remove All Whitespace from a String,"public static String removeWhitespace(String input) {
    StringBuilder result = new StringBuilder();
    for (char c : input.toCharArray()) {
        if (!Character.isWhitespace(c)) {
            result.append(c);
        }
    }
    return result.toString();
}"
Remove All Whitespace from a String,"public static String removeWhitespace(String input) {
    return input.chars()
                .filter(c -> !Character.isWhitespace(c))
                .collect(StringBuilder::new, StringBuilder::appendCodePoint, StringBuilder::append)
                .toString();
}"
Remove All Whitespace from a String,"public static String removeWhitespacea(String input) {
    String[] whitespaces = {"" "", ""\t"", ""\n"", ""\r""};
    for (String whitespace : whitespaces) {
        input = input.replace(whitespace, """");
    }
    return input;
}"
Remove All Whitespace from a String,"public static String removeWhitespace(String input) {
    return java.util.regex.Pattern.compile(""\\s"")
                                  .matcher(input)
                                  .replaceAll("""");
}"
Check if List Contains Duplicates,"public static <T> boolean hasDuplicates(List<T> list) {
    Set<T> set = new HashSet<>();
    for (T element : list) {
        if (!set.add(element)) {
            return true;
        }
    }
    return false;
}"
Check if List Contains Duplicates,"public static <T> boolean hasDuplicates(List<T> list) {
    for (int i = 0; i < list.size(); i++) {
        for (int j = i + 1; j < list.size(); j++) {
            if (list.get(i).equals(list.get(j))) {
                return true;
            }
        }
    }
    return false;
}"
Check if List Contains Duplicates,"public static <T> boolean hasDuplicates(List<T> list) {
    return list.size() != list.stream().distinct().count();
}"
Check if List Contains Duplicates,"public static <T> boolean hasDuplicates(List<T> list) {
    java.util.Map<T, Integer> map = new java.util.HashMap<>();
    for (T element : list) {
        map.put(element, map.getOrDefault(element, 0) + 1);
        if (map.get(element) > 1) {
            return true;
        }
    }
    return false;
}"
Check if List Contains Duplicates,"public static <T> boolean hasDuplicates(List<T> list) {
    for (T element : list) {
        if (java.util.Collections.frequency(list, element) > 1) {
            return true;
        }
    }
    return false;
}"
Calculate Sum of Digits,"public static int sumOfDigits(int number) {
    if (number == 0) {
        return 0;
    }
    return number % 10 + sumOfDigits(number / 10);
}"
Calculate Sum of Digits,"public static int sumOfDigits(int number) {
    int sum = 0;
    while (number != 0) {
        sum += number % 10;
        number /= 10;
    }
    return sum;
}"
Calculate Sum of Digits,"public static int sumOfDigits(int number) {
    String numStr = String.valueOf(number);
    int sum = 0;
    for (char c : numStr.toCharArray()) {
        sum += Character.getNumericValue(c);
    }
    return sum;
}"
Calculate Sum of Digits,"public static int sumOfDigits(int number) {
    return String.valueOf(number)
                 .chars()
                 .map(Character::getNumericValue)
                 .sum();
}"
Calculate Sum of Digits,"public static int sumOfDigits(int number) {
    int sum = 0;
    for (; number != 0; number /= 10) {
        sum += number % 10;
    }
    return sum;
}"
Find Missing Number in a List,"public static int findMissing(int[] arr) {
    int n = arr.length + 1;
    int expectedSum = n * (n + 1) / 2;
    int actualSum = Arrays.stream(arr).sum();
    return expectedSum - actualSum;
}"
Find Missing Number in a List,"public static int findMissing(int[] arr) {
    int n = arr.length + 1;
    int xor1 = 1;
    for (int i = 2; i <= n; i++) {
        xor1 ^= i;
    }

    int xor2 = arr[0];
    for (int i = 1; i < arr.length; i++) {
        xor2 ^= arr[i];
    }

    return xor1 ^ xor2;
}"
Find Missing Number in a List,"public static int findMissing(int[] arr) {
    Set<Integer> set = new HashSet<>();
    for (int num : arr) {
        set.add(num);
    }

    for (int i = 1; i <= arr.length + 1; i++) {
        if (!set.contains(i)) {
            return i;
        }
    }

    return -1;
}"
Find Missing Number in a List,"public static int findMissing(int[] arr) {
    Arrays.sort(arr);
    for (int i = 0; i < arr.length; i++) {
        if (arr[i] != i + 1) {
            return i + 1;
        }
    }
    return arr.length + 1;
}"
Find Missing Number in a List,"public static int findMissing(int[] arr) {
    Arrays.sort(arr);
    int left = 0, right = arr.length - 1;

    while (left <= right) {
        int mid = left + (right - left) / 2;
        if (arr[mid] == mid + 1) {
            left = mid + 1;
        } else {
            right = mid - 1;
        }
    }

    return left + 1;
}"
Check if Two Strings are Anagrams,"public static boolean areAnagrams(String str1, String str2) {
    if (str1.length() != str2.length()) {
        return false;
    }
    char[] arr1 = str1.toCharArray();
    char[] arr2 = str2.toCharArray();
    Arrays.sort(arr1);
    Arrays.sort(arr2);
    return Arrays.equals(arr1, arr2);
}"
Check if Two Strings are Anagrams,"public static boolean areAnagrams(String str1, String str2) {
        if (str1.length() != str2.length()) {
            return false;
        }
        int[] charCount = new int[26];

        for (int i = 0; i < str1.length(); i++) {
            charCount[str1.charAt(i) - 'a']++;
            charCount[str2.charAt(i) - 'a']--;
        }

        for (int count : charCount) {
            if (count != 0) {
                return false;
            }
        }

        return true;
    }"
Check if Two Strings are Anagrams,"public static boolean areAnagrams(String str1, String str2) {
    if (str1.length() != str2.length()) {
        return false;
    }
    Map<Character, Integer> charCountMap = new HashMap<>();

    for (char c : str1.toCharArray()) {
        charCountMap.put(c, charCountMap.getOrDefault(c, 0) + 1);
    }

    for (char c : str2.toCharArray()) {
        if (!charCountMap.containsKey(c)) {
            return false;
        }
        charCountMap.put(c, charCountMap.get(c) - 1);
        if (charCountMap.get(c) == 0) {
            charCountMap.remove(c);
        }
    }

    return charCountMap.isEmpty();
}"
Check if Two Strings are Anagrams,"public static boolean areAnagrams(String str1, String str2) {
    if (str1.length() != str2.length()) {
        return false;
    }
    return str1.chars().sorted().toArray().equals(str2.chars().sorted().toArray());
}"
Check if Two Strings are Anagrams,"public static boolean areAnagrams(String str1, String str2) {
    if (str1.length() != str2.length()) {
        return false;
    }
    
    Map<Character, Integer> frequencyMap = new HashMap<>();
    
    // Count the frequency of each character in str1
    for (char c : str1.toCharArray()) {
        frequencyMap.put(c, frequencyMap.getOrDefault(c, 0) + 1);
    }
    
    // Subtract the frequency of each character in str2
    for (char c : str2.toCharArray()) {
        if (!frequencyMap.containsKey(c) || frequencyMap.get(c) == 0) {
            return false;
        }
        frequencyMap.put(c, frequencyMap.get(c) - 1);
    }
    
    return true;
}"
Convert List of Tuples to Dictionary,"public static <K, V> Map<K, V> convert(List<Pair<K, V>> list) {
    Map<K, V> map = new HashMap<>();
    for (Pair<K, V> pair : list) {
        map.put(pair.getKey(), pair.getValue());
    }
    return map; 
}"
Convert List of Tuples to Dictionary,"public static <K, V> Map<K, V> convert(List<Pair<K, V>> list) {
    return list.stream()
               .collect(Collectors.toMap(pair -> pair.key, pair -> pair.value));
}"
Convert List of Tuples to Dictionary,"public static <K, V> Map<K, V> convert(List<Pair<K, V>> list) {
    Map<K, V> map = new LinkedHashMap<>();
    for (Pair<K, V> pair : list) {
        map.put(pair.key, pair.value);
    }
    return map;
}"
Convert List of Tuples to Dictionary,"public static <K, V> Map<K, V> convert(List<Pair<K, V>> list) {
    Map<K, V> map = new HashMap<>();
    list.forEach(pair -> map.put(pair.key, pair.value));
    return map;
}"
Convert List of Tuples to Dictionary,"public static <K, V> Map<K, V> convert(List<Pair<K, V>> list) {
    Map<K, V> map = new HashMap<>();
    for (Pair<K, V> pair : list) {
        map.put(pair.key, pair.value);
    }
    return map;
}
"
